,peak_rank,debut_rank,lifetime_peak_rank,sensationality,avg_rank_score,std_rank_score,time_on_chart,num_occurrences,rank_sum,skewness,kurtosis,spotify_popularity,top_10,top_25,top_50
461,62,0.011111111111111112,62,0.1509662342486393,0.01382991434339626,0.001691420082625842,11,11,0.1521290577773588,-0.2610722222995838,-1.2241393447928262,71.0,False,False,False
462,76,0.010752688172043012,76,0.17164926870196573,0.011490393333651072,0.0009700694258211828,15,15,0.16086550667111502,0.2708676512468347,-1.234139041132365,64.0,False,False,False
463,95,0.010526315789473684,95,0.010525927023111059,0.010526315789473684,0.0,1,1,0.010526315789473684,0.0,-3.0,67.0,False,False,False
464,100,0.01,100,0.00999966667999952,0.01,0.0,1,1,0.01,0.0,-3.0,51.0,False,False,False
465,1,1.0,1,0.7856556209558676,0.2649946189988713,0.42440091717232903,4,4,1.0599784759954851,1.153961190515386,-0.6672390887184116,61.0,True,True,True
466,3,0.3333333333333333,3,0.7076900313483507,0.045718534839759385,0.07419945494896131,20,20,0.8686521619554282,3.141610585407596,9.05489783049691,70.0,True,True,True
467,49,0.0196078431372549,49,0.039994661120545505,0.02000800320128051,0.00040016006402560957,2,2,0.04001600640256102,1.3010046712977566e-14,-1.9999999999999998,62.0,False,False,True
468,52,0.019230769230769232,52,0.1203046386024289,0.012737051449057528,0.0031525546785734445,5,9,0.0891593601434027,1.1161153384524545,-0.192546176398257,93.0,False,False,False
469,54,0.018518518518518517,54,0.0405444729496367,0.013522237096534285,0.0036305090958550263,3,3,0.040566711289602854,0.5420925453802911,-1.5000000000000002,62.0,False,False,False
470,54,0.01694915254237288,54,0.035452806287657346,0.017733835530445698,0.0007846829880728181,2,2,0.035467671060891395,6.634211947631862e-15,-2.0,67.0,False,False,False
471,65,0.015384615384615385,65,0.026741874391975617,0.013374125874125875,0.0020104895104895108,2,2,0.02674825174825175,0.0,-2.0,70.0,False,False,False
472,1,0.012345679012345678,1,0.9982769949022834,0.13164821700736629,0.2241011096605852,31,31,2.2380196891252275,3.373698659655516,10.28488358010883,79.0,True,True,True
473,63,0.012048192771084338,63,0.13249325128838074,0.012228779247436877,0.0015074163534495907,11,11,0.12228779247436877,1.139008762641334,0.7869672521686941,91.0,False,False,False
474,41,0.010869565217391304,41,0.18422173343801562,0.015731833283493563,0.004010264267033009,12,12,0.15731833283493563,0.764894344114205,-0.13938452901164533,78.0,False,False,True
475,96,0.010416666666666666,96,0.010416289922794641,0.010416666666666666,0.0,1,1,0.010416666666666666,0.0,-3.0,54.0,False,False,False
476,95,0.01,95,0.020523433493484955,0.010263157894736842,0.0002631578947368419,2,2,0.020526315789473684,0.0,-2.0,81.0,False,False,False
477,37,0.02702702702702703,37,0.041088388051394364,0.020555767034640276,0.0064712599923867535,2,2,0.04111153406928055,-4.88375404298364e-16,-2.0,78.0,False,False,True
478,57,0.017543859649122806,57,0.01754205994664937,0.017543859649122806,0.0,1,1,0.017543859649122806,0.0,-3.0,77.0,False,False,False
479,92,0.010869565217391304,92,0.021175677592330855,0.010589421783953383,0.00028014343343792016,2,2,0.021178843567906766,9.25890418462244e-15,-2.0,63.0,False,False,False
480,94,0.010638297872340425,94,0.010637896566459082,0.010638297872340425,0.0,1,1,0.010638297872340425,0.0,-3.0,69.0,False,False,False
481,36,0.010416666666666666,36,0.37405495584042314,0.01773451630309409,0.006058295392106816,22,22,0.3192212934556936,0.35799772516438294,-1.3946927018949906,69.0,False,False,True
482,8,0.010101010101010102,8,0.8827605037858393,0.03911912842848926,0.03170770868874053,35,35,1.0170973391407205,1.4732960459568019,1.0598445513262629,73.0,True,True,True
483,28,0.03571428571428571,28,0.3320532670524303,0.01882330331267609,0.006679736235030869,18,18,0.30117285300281743,0.8604083460049771,0.300813119289399,69.0,False,False,True
484,33,0.030303030303030304,33,0.0412685891933553,0.020646020646020648,0.009657009657009658,2,2,0.041292041292041295,-2.3513231248854324e-16,-1.9999999999999998,78.0,False,False,True
485,49,0.02040816326530612,49,0.03372869765752773,0.016870748299319727,0.0035374149659863933,2,2,0.03374149659863945,7.47484706682062e-16,-1.9999999999999998,60.0,False,False,True
486,75,0.013333333333333334,75,0.01333254326605915,0.013333333333333334,0.0,1,1,0.013333333333333334,0.0,-3.0,65.0,False,False,False
487,77,0.012987012987012988,77,0.05659912273171974,0.011331935370475391,0.0010600897479560644,5,5,0.05665967685237696,0.4005981672746989,-1.340157413711858,69.0,False,False,False
488,92,0.010869565217391304,92,0.01086913716715654,0.010869565217391304,0.0,1,1,0.010869565217391304,0.0,-3.0,56.0,False,False,False
489,23,0.010752688172043012,23,0.4470893400796896,0.021424877245068766,0.009556515183201744,20,20,0.34279803592110025,0.9022523489480808,-0.0851263926467416,70.0,False,True,True
490,12,0.010416666666666666,12,0.5071714699660104,0.028889506216321734,0.016665749164858364,20,20,0.43334259324482605,2.2258332819320263,4.811808213642489,73.0,False,True,True
491,53,0.010101010101010102,53,0.15993849443525776,0.013500278406720405,0.0025868739722868356,12,12,0.14850306247392445,0.6728433486758014,-0.6501750405970248,54.0,False,False,False
492,6,0.16666666666666666,6,0.9903419046553597,0.05705132030691415,0.03321194893730619,43,43,1.1980777264451972,1.6608680684114532,3.076155982975548,83.0,True,True,True
493,11,0.09090909090909091,11,0.5859891650391582,0.03390243112455275,0.017124906922284154,20,20,0.4746340357437384,2.524313679161574,5.867735740052931,77.0,False,True,True
